Document,Q0_Pristine,Q05_VeryGood,Q1_Poor,Q15_Medium,Q2_MediumPoor,Sensitivity,Avg Degradation Rate
222AAA,0,183,175,1127,810,HIGH,202.5
333BBB,0,103,109,1030,738,HIGH,184.5
333ccc,0,109,148,420,829,HIGH,207.2
555CCC,0,58,34,676,1662,HIGH,415.5
