filter_id,filter_type,degradation_level,total_edits,222AAA,333BBB,333ccc,555CCC
PIL_18,PIL,Q15_Medium,1040,300,274,196,270
PIL_18,PIL,Q2_MediumPoor,1547,364,478,411,294
PIL_19,PIL,Q0_Pristine,495,171,139,142,43
PIL_19,PIL,Q05_VeryGood,547,200,156,161,30
PIL_19,PIL,Q1_Poor,567,212,165,151,39
PIL_19,PIL,Q15_Medium,974,294,272,195,213
PIL_19,PIL,Q2_MediumPoor,1484,359,472,364,289
OpenCV_0,OpenCV,Q0_Pristine,354,149,97,102,6
OpenCV_0,OpenCV,Q05_VeryGood,413,160,95,114,44
OpenCV_0,OpenCV,Q1_Poor,432,141,106,128,57
OpenCV_0,OpenCV,Q15_Medium,2856,566,518,688,1084
OpenCV_0,OpenCV,Q2_MediumPoor,3612,957,850,1064,741
OpenCV_1,OpenCV,Q0_Pristine,366,128,90,111,37
OpenCV_1,OpenCV,Q05_VeryGood,412,149,100,118,45
OpenCV_1,OpenCV,Q1_Poor,428,157,108,118,45
OpenCV_1,OpenCV,Q15_Medium,2023,488,480,481,574
OpenCV_1,OpenCV,Q2_MediumPoor,4097,736,859,811,1691
OpenCV_2,OpenCV,Q0_Pristine,348,146,92,103,7
OpenCV_2,OpenCV,Q05_VeryGood,421,160,98,114,49
OpenCV_2,OpenCV,Q1_Poor,459,161,110,128,60
OpenCV_2,OpenCV,Q15_Medium,2938,591,516,604,1227
OpenCV_2,OpenCV,Q2_MediumPoor,4306,949,796,1085,1476
OpenCV_3,OpenCV,Q0_Pristine,371,136,104,93,38
OpenCV_3,OpenCV,Q05_VeryGood,382,141,97,104,40
OpenCV_3,OpenCV,Q1_Poor,404,156,104,110,34
OpenCV_3,OpenCV,Q15_Medium,1883,465,402,363,653
OpenCV_3,OpenCV,Q2_MediumPoor,4422,1224,822,718,1658
OpenCV_4,OpenCV,Q0_Pristine,423,148,147,118,10
OpenCV_4,OpenCV,Q05_VeryGood,416,169,94,103,50
OpenCV_4,OpenCV,Q1_Poor,411,140,84,115,72
OpenCV_4,OpenCV,Q15_Medium,2242,435,487,526,794
OpenCV_4,OpenCV,Q2_MediumPoor,3010,647,819,819,725
OpenCV_5,OpenCV,Q0_Pristine,345,128,80,103,34
OpenCV_5,OpenCV,Q05_VeryGood,393,156,95,107,35
OpenCV_5,OpenCV,Q1_Poor,449,153,108,115,73
OpenCV_5,OpenCV,Q15_Medium,1743,402,450,428,463
OpenCV_5,OpenCV,Q2_MediumPoor,3901,751,900,723,1527
OpenCV_6,OpenCV,Q0_Pristine,426,148,146,121,11
OpenCV_6,OpenCV,Q05_VeryGood,407,164,89,103,51
OpenCV_6,OpenCV,Q1_Poor,407,139,84,114,70
OpenCV_6,OpenCV,Q15_Medium,2242,436,486,528,792
OpenCV_6,OpenCV,Q2_MediumPoor,3012,643,825,805,739
OpenCV_7,OpenCV,Q0_Pristine,391,165,80,111,35
OpenCV_7,OpenCV,Q05_VeryGood,460,168,91,142,59
OpenCV_7,OpenCV,Q1_Poor,572,180,145,183,64
OpenCV_7,OpenCV,Q15_Medium,1901,504,461,509,427
OpenCV_7,OpenCV,Q2_MediumPoor,2731,657,782,705,587
OpenCV_8,OpenCV,Q0_Pristine,350,153,88,102,7
OpenCV_8,OpenCV,Q05_VeryGood,396,139,107,110,40
OpenCV_8,OpenCV,Q1_Poor,584,167,145,207,65
OpenCV_8,OpenCV,Q15_Medium,2067,471,647,531,418
OpenCV_8,OpenCV,Q2_MediumPoor,3387,982,870,752,783
OpenCV_9,OpenCV,Q0_Pristine,479,192,109,143,35
OpenCV_9,OpenCV,Q05_VeryGood,504,149,147,174,34
OpenCV_9,OpenCV,Q1_Poor,649,158,184,223,84
OpenCV_9,OpenCV,Q15_Medium,1941,421,611,550,359
OpenCV_9,OpenCV,Q2_MediumPoor,2983,739,835,745,664
OpenCV_10,OpenCV,Q0_Pristine,372,134,86,110,42
OpenCV_10,OpenCV,Q05_VeryGood,443,155,121,118,49
OpenCV_10,OpenCV,Q1_Poor,534,173,131,169,61
OpenCV_10,OpenCV,Q15_Medium,1326,350,368,356,252
OpenCV_10,OpenCV,Q2_MediumPoor,2454,457,761,683,553
OpenCV_11,OpenCV,Q0_Pristine,368,163,98,100,7
OpenCV_11,OpenCV,Q05_VeryGood,453,140,123,132,58
OpenCV_11,OpenCV,Q1_Poor,547,154,128,213,52
OpenCV_11,OpenCV,Q15_Medium,1968,490,534,571,373
OpenCV_11,OpenCV,Q2_MediumPoor,3081,868,785,750,678
OpenCV_12,OpenCV,Q0_Pristine,485,197,108,142,38
OpenCV_12,OpenCV,Q05_VeryGood,536,171,148,187,30
OpenCV_12,OpenCV,Q1_Poor,651,179,194,205,73
OpenCV_12,OpenCV,Q15_Medium,2033,517,596,573,347
OpenCV_12,OpenCV,Q2_MediumPoor,3042,807,851,715,669
OpenCV_13,OpenCV,Q0_Pristine,439,178,117,111,33
OpenCV_13,OpenCV,Q05_VeryGood,505,153,158,165,29
OpenCV_13,OpenCV,Q1_Poor,619,166,169,206,78
OpenCV_13,OpenCV,Q15_Medium,2001,460,594,588,359
OpenCV_13,OpenCV,Q2_MediumPoor,3167,744,881,905,637
OpenCV_14,OpenCV,Q0_Pristine,339,126,101,107,5
OpenCV_14,OpenCV,Q05_VeryGood,410,162,102,101,45
OpenCV_14,OpenCV,Q1_Poor,497,173,102,175,47
OpenCV_14,OpenCV,Q15_Medium,1327,345,390,327,265
OpenCV_14,OpenCV,Q2_MediumPoor,2521,505,768,671,577
OpenCV_15,OpenCV,Q0_Pristine,367,140,77,126,24
OpenCV_15,OpenCV,Q05_VeryGood,420,136,105,124,55
OpenCV_15,OpenCV,Q1_Poor,493,149,148,127,69
OpenCV_15,OpenCV,Q15_Medium,1948,512,498,508,430
OpenCV_15,OpenCV,Q2_MediumPoor,2875,774,736,687,678
OpenCV_16,OpenCV,Q0_Pristine,442,173,113,124,32
OpenCV_16,OpenCV,Q05_VeryGood,447,153,130,137,27
OpenCV_16,OpenCV,Q1_Poor,535,148,134,178,75
OpenCV_16,OpenCV,Q15_Medium,1941,487,531,604,319
OpenCV_16,OpenCV,Q2_MediumPoor,3124,839,803,793,689
OpenCV_17,OpenCV,Q0_Pristine,361,155,83,101,22
OpenCV_17,OpenCV,Q05_VeryGood,468,151,106,150,61
OpenCV_17,OpenCV,Q1_Poor,595,186,176,165,68
OpenCV_17,OpenCV,Q15_Medium,1733,429,558,444,302
OpenCV_17,OpenCV,Q2_MediumPoor,2707,693,722,710,582
OpenCV_18,OpenCV,Q0_Pristine,527,200,176,146,5
OpenCV_18,OpenCV,Q05_VeryGood,593,189,166,192,46
OpenCV_18,OpenCV,Q1_Poor,656,225,211,190,30
OpenCV_18,OpenCV,Q15_Medium,1433,334,407,404,288
OpenCV_18,OpenCV,Q2_MediumPoor,2545,523,828,683,511
OpenCV_19,OpenCV,Q0_Pristine,475,193,106,138,38
OpenCV_19,OpenCV,Q05_VeryGood,565,165,147,202,51
OpenCV_19,OpenCV,Q1_Poor,668,189,199,199,81
OpenCV_19,OpenCV,Q15_Medium,1975,457,633,558,327
OpenCV_19,OpenCV,Q2_MediumPoor,2973,802,859,680,632
