Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS8604	Possible null reference argument for parameter 'actual' in 'void ShouldBeStringTestExtensions.ShouldContain(string actual, string expected, Case caseSensitivity = Case.Insensitive, string? customMessage = null)'.	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure\Database\AuditLoggerServiceTests.cs	108		
Error (active)	CS1503	Argument 2: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\DecisionLogicIntegrationTests.cs	113		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionIntegrationTests.cs	114		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	118		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\DigitalPdfSignerTests.cs	124		
Error (active)	CS1503	Argument 2: cannot convert from 'string' to 'System.Linq.Expressions.Expression<System.Func<char, bool>>'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\ExportIntegrationTests.cs	131		
Error (active)	CS1503	Argument 3: cannot convert from 'System.StringComparison' to 'int'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\ExportIntegrationTests.cs	131		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\PdfRequirementSummarizerServiceTests.cs	133		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\DecisionLogicIntegrationTests.cs	145		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	150		
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'logger' of 'MetadataExtractionService.MetadataExtractionService(IFileTypeIdentifier, IMetadataExtractor, IFileClassifier, ISafeFileNamer, IFileMover, IAuditLogger, ILogger<MetadataExtractionService>)'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionIntegrationTests.cs	160		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\PdfRequirementSummarizerServiceTests.cs	160		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\DigitalPdfSignerTests.cs	163		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionIntegrationTests.cs	169		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\DecisionLogicIntegrationTests.cs	178		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\PdfRequirementSummarizerServiceTests.cs	188		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	189		
Error (active)	CS1503	Argument 2: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\DecisionLogicIntegrationTests.cs	200		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\DigitalPdfSignerTests.cs	203		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\PdfRequirementSummarizerServiceTests.cs	216		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\DecisionLogicIntegrationTests.cs	225		
Error (active)	CS8604	Possible null reference argument for parameter 'actual' in 'void ShouldBeStringTestExtensions.ShouldContain(string actual, string expected, Case caseSensitivity = Case.Insensitive, string? customMessage = null)'.	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\ExportServiceTests.cs	232		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	232		
